disasterNumber,state,declarationTitle,fipsStateCode,fipsCountyCode,designatedArea,storm_name
3547,LA,HURRICANE DELTA ,22,001,Acadia (Parish),Delta
3547,LA,HURRICANE DELTA ,22,003,Allen (Parish),Delta
3547,LA,HURRICANE DELTA ,22,005,Ascension (Parish),Delta
3547,LA,HURRICANE DELTA ,22,007,Assumption (Parish),Delta
3547,LA,HURRICANE DELTA ,22,009,Avoyelles (Parish),Delta
3547,LA,HURRICANE DELTA ,22,011,Beauregard (Parish),Delta
3547,LA,HURRICANE DELTA ,22,013,Bienville (Parish),Delta
3547,LA,HURRICANE DELTA ,22,015,Bossier (Parish),Delta
3547,LA,HURRICANE DELTA ,22,017,Caddo (Parish),Delta
3547,LA,HURRICANE DELTA ,22,019,Calcasieu (Parish),Delta
3547,LA,HURRICANE DELTA ,22,021,Caldwell (Parish),Delta
3547,LA,HURRICANE DELTA ,22,023,Cameron (Parish),Delta
3547,LA,HURRICANE DELTA ,22,025,Catahoula (Parish),Delta
3547,LA,HURRICANE DELTA ,22,027,Claiborne (Parish),Delta
3547,LA,HURRICANE DELTA ,22,029,Concordia (Parish),Delta
3547,LA,HURRICANE DELTA ,22,031,De Soto (Parish),Delta
3547,LA,HURRICANE DELTA ,22,033,East Baton Rouge (Parish),Delta
3547,LA,HURRICANE DELTA ,22,035,East Carroll (Parish),Delta
3547,LA,HURRICANE DELTA ,22,037,East Feliciana (Parish),Delta
3547,LA,HURRICANE DELTA ,22,039,Evangeline (Parish),Delta
3547,LA,HURRICANE DELTA ,22,041,Franklin (Parish),Delta
3547,LA,HURRICANE DELTA ,22,043,Grant (Parish),Delta
3547,LA,HURRICANE DELTA ,22,045,Iberia (Parish),Delta
3547,LA,HURRICANE DELTA ,22,047,Iberville (Parish),Delta
3547,LA,HURRICANE DELTA ,22,049,Jackson (Parish),Delta
3547,LA,HURRICANE DELTA ,22,051,Jefferson (Parish),Delta
3547,LA,HURRICANE DELTA ,22,053,Jefferson Davis (Parish),Delta
