id,disasterNumber,damagedStateAbbreviation,damagedZipCode,ownRent,residenceType,grossIncome,specialNeeds,tsaEligible,repairAssistanceEligible,replacementAssistanceEligible,personalPropertyEligible,ppfvl,censusBlockId,censusYear,tract_geoid
d214ed1e-951e-484b-b014-2a885a7ea234,4332,TX,77036,Renter,Apartment,1800.0,True,False,False,False,False,,482014329011042,2010.0,48201432901
e7b10c4f-adec-4a58-a4fc-85b5a20dfa4c,4337,FL,34238,Renter,Condo,,False,False,False,False,False,,121150020081000,2010.0,12115002008
0832cc95-c445-4429-956c-e2d1864d37ac,4337,FL,34758,Renter,House/Duplex,28000.0,False,True,False,False,False,0.0,120970411001031,2010.0,12097041100
ce6f1140-3777-41d8-8da0-f7f4891b2228,4559,LA,70663,Renter,Apartment,55000.0,False,False,False,False,False,,220190031021019,2020.0,22019003102
f47b5c56-74b6-4572-844b-64aaacb85234,4332,TX,77088,Renter,Apartment,23000.0,False,True,False,False,False,0.0,482015327003002,2010.0,48201532700
5a0ce260-01f8-4112-8ed3-9c55bec78ab4,4332,TX,77407,Renter,House/Duplex,80000.0,False,False,False,False,False,,481576729001053,2010.0,48157672900
e721b814-9650-42e0-9a53-71da1e43294e,4337,FL,32765,Owner,House/Duplex,,False,False,False,False,False,,121170213161009,2010.0,12117021316
bfe940b0-5c0d-4b06-a2ba-424e728f220d,4337,FL,34116,Renter,Apartment,28000.0,False,False,False,False,False,,120210104103001,2010.0,12021010410
5cb02b42-ce4c-47f3-b298-6403ed6ed398,4337,FL,33321,Owner,House/Duplex,,False,False,False,False,False,,120110204141011,2010.0,12011020414
0d0ec492-7040-4507-9d4a-e01c538f579e,4337,FL,33147,Renter,House/Duplex,20000.0,False,False,False,False,False,,120860009031010,2010.0,12086000903
165fa89b-1d48-4674-ad07-0fd0514dd1ec,4586,TX,77568,Renter,House/Duplex,,False,False,False,False,False,,481677230002005,2020.0,48167723000
27cef179-eb0f-44c5-9a91-7b71eea76102,4611,LA,70115,Renter,Apartment,40000.0,False,False,False,False,False,,220710099003006,2020.0,22071009900
da2f08ef-2c26-4e84-b8e1-a9a1d692a7f7,4332,TX,77701,Owner,House/Duplex,20400.0,True,False,False,False,False,0.0,482450019001038,2010.0,48245001900
4548a748-8bc0-4460-80b7-81666706a80b,4332,TX,77584,Renter,Apartment,5500.0,False,True,False,False,False,0.0,480396606022047,2010.0,48039660602
68c1d0a9-ae6e-4c5b-b611-5ff3c27c7d7f,4337,FL,33056,Renter,Other,13000.0,False,False,False,False,False,,120860099042011,2010.0,12086009904
77f6a7ae-208b-462c-8a5d-ae30b9ff42e5,4337,FL,32935,Owner,House/Duplex,157000.0,False,False,False,False,False,,120090641272054,2010.0,12009064127
a0b71f89-df22-49cb-8c5d-07045390f838,4586,TX,77073,Owner,House/Duplex,4500.0,False,False,False,False,False,,482012407041012,2020.0,48201240704
89e9db12-945c-4685-b501-e65606bb344d,4611,LA,70456,Renter,Mobile Home,25000.0,False,False,False,False,False,80.0,221059534021006,2020.0,22105953402
9d0b60a6-9a58-4a58-bada-7c6127689411,4559,LA,71108,Renter,House/Duplex,1800.0,False,False,False,False,True,2946.76,,,
207bc22d-c52b-4b47-9d45-1a20a0cf5721,4332,TX,78418,Owner,House/Duplex,40000.0,False,False,False,False,False,,483550031012015,2010.0,48355003101
d9950163-63d3-4ac2-b7e3-ee36002733fd,4337,FL,32714,Renter,Apartment,29000.0,False,False,False,False,False,,121170217051003,2010.0,12117021705
73608b23-939b-4ae5-b2a5-d1c6d65ff7b8,4337,FL,33916,Renter,Apartment,6588.0,False,False,False,False,False,,120710005023011,2010.0,12071000502
a0a3cc5f-e293-4707-81eb-f70899acc4fe,4337,FL,34114,Renter,Mobile Home,13000.0,False,False,False,False,False,0.0,120210111032017,2010.0,12021011103
8e8cafdb-ed1e-46a0-82af-fe955a655cfc,4611,LA,70058,Renter,Mobile Home,,False,False,False,False,False,4329.59,220510278031012,2020.0,22051027803
ae9fed7e-fa75-4963-9de3-fdad38403652,4332,TX,77093,Owner,Travel Trailer,12000.0,False,False,False,False,False,0.0,482012218002008,2010.0,48201221800
fd07a5b3-54dd-43e1-85c1-107d8d0cd825,4337,FL,33141,Renter,Apartment,3000.0,False,False,False,False,False,,120860039111001,2010.0,12086003911
bb769eb7-ba8a-4ace-967a-d8a912f54baa,4332,TX,77951,Renter,House/Duplex,60000.0,False,False,False,False,False,0.0,484690017004028,2010.0,48469001700
19de1124-3e2c-4950-b44c-fbb853a2fbea,4337,FL,33065,Renter,Apartment,192000.0,False,False,False,False,False,,120110203262025,2010.0,12011020326
62be5f31-5fce-4b20-a68c-1f9c511dc9b2,4337,FL,33014,Renter,Townhouse,24000.0,False,True,False,False,False,,120860093061023,2010.0,12086009306
24084175-f461-4387-a660-e4a2f2e62c13,4399,FL,32401,Renter,Mobile Home,30000.0,False,False,False,False,False,520.53,120050010002006,2010.0,12005001000
00e03b00-f83d-4df7-82c8-2880a15f81f2,4611,LA,70364,Owner,House/Duplex,50000.0,False,True,False,False,False,,221090004021024,2020.0,22109000402
cd9ea968-ae66-43bf-bd08-df044bd93d38,4611,LA,70127,Owner,House/Duplex,53000.0,False,True,False,False,False,,220710017232023,2020.0,22071001723
f80e7b5b-9f8d-4d5f-8d1a-03d1f21370fa,4332,TX,77591,Renter,Apartment,2200.0,False,True,False,False,True,0.0,481677227001007,2010.0,48167722700
3e770848-5af6-4257-ad35-039c096aa76c,4332,TX,77396,Owner,House/Duplex,35000.0,False,False,False,False,False,0.0,482012502002000,2010.0,48201250200
79e46989-89ef-42ff-9d7a-a41f78c8a1f7,4337,FL,33470,Owner,House/Duplex,50000.0,False,True,False,False,False,,120990079122063,2010.0,12099007912
4f06e1a7-dd93-44ea-bfdc-c0f5b2e68b22,4337,FL,34452,Owner,House/Duplex,39000.0,False,False,False,False,False,,120174511023045,2010.0,12017451102
90b0a9d6-62ca-409c-a427-cafb5d67727d,4337,FL,33161,Renter,House/Duplex,,False,False,False,False,False,0.0,120860002202009,2010.0,12086000220
a8f2da7b-d94c-4069-97a1-a840fa0aea1a,4337,FL,32779,Owner,House/Duplex,,False,False,False,False,False,,121170216092019,2010.0,12117021609
33bd54e7-9347-4a04-996c-c9e37b58b5db,4559,LA,71446,Owner,House/Duplex,203836.0,False,False,False,False,False,,221159501004037,2020.0,22115950100
a5e728b2-c47a-42f0-a222-7857c74c2d4e,4611,LA,70806,Renter,Apartment,15000.0,False,False,False,False,False,,220330011021011,2020.0,22033001102
e4b5c83f-b5dc-436a-a7a4-56f13f708c24,4611,LA,70737,Owner,House/Duplex,70000.0,False,False,False,False,False,,220050304052000,2020.0,22005030405
03355229-433b-4dbb-b8f6-7e33ddb2e7c6,4332,TX,77630,Owner,Travel Trailer,12000.0,False,False,True,False,True,670.27,483610203001013,2010.0,48361020300
8c5de67b-872b-41e3-b093-4bfca48fb33f,4337,FL,33332,Renter,House/Duplex,18000.0,False,True,False,False,False,,120110703141024,2010.0,12011070314
016ebf42-3488-40d4-9424-0d3772b8b8c1,4337,FL,32948,Owner,Mobile Home,25000.0,False,False,False,False,False,0.0,120610509043060,2010.0,12061050904
7969d546-6930-40ad-9d5f-aa860f6a28f2,4611,LA,70125,Owner,House/Duplex,250000.0,False,False,False,False,False,,220710122002026,2020.0,22071012200
27317a5f-e761-4fa5-99db-8b5ce580ec8c,4611,LA,70441,Renter,House/Duplex,12000.0,False,False,False,False,False,,220919511001013,2020.0,22091951100
d84b831d-6b74-42d6-b830-0f069cf10de2,4332,TX,77506,Renter,Apartment,11730.0,False,False,False,False,False,0.0,482013220001003,2010.0,48201322000
067f2e60-f0f9-47bc-8a51-2c7ef5442797,4337,FL,33614,Renter,Apartment,25000.0,False,False,False,False,False,,120570119012009,2010.0,12057011901
85b5a3e7-c7ef-4832-be7a-d81243d098d0,4337,FL,33127,Renter,Apartment,,False,False,False,False,False,,120860028001020,2010.0,12086002800
0ef58cfd-769c-4449-9dbd-bee8cba2a8e3,4332,TX,77590,Renter,Apartment,0.0,False,False,False,False,False,0.0,481677220021003,2010.0,48167722002
72b1e343-cb4d-47c6-8075-d94a9700fe9e,4332,TX,77532,Owner,House/Duplex,81000.0,False,True,True,False,False,3545.13,482012518001000,2010.0,48201251800
259d0958-43b9-4e03-b19a-9987f2153111,4332,TX,77901,Renter,House/Duplex,45000.0,False,True,False,False,False,0.0,484690016042005,2010.0,48469001604
c402b4a5-64ff-426a-98dd-9bd3a533aaec,4337,FL,34207,Owner,Mobile Home,20508.0,False,True,False,False,False,,120810002013030,2010.0,12081000201
e32b1156-6220-46ea-90f7-6b9028a60c90,4337,FL,33756,Owner,House/Duplex,,False,True,False,False,False,0.0,121030257003030,2010.0,12103025700
4ff540c3-ffaf-4cb9-b49c-fb28db036a85,4337,FL,33168,Renter,House/Duplex,,False,False,False,False,False,0.0,120860011013024,2010.0,12086001101
676d5918-77d6-4b41-8346-f2db529a0a69,4337,FL,33141,Renter,Apartment,54470.0,False,True,False,False,False,0.0,120860039182004,2010.0,12086003918
0966744b-9b9f-4200-b1aa-3f07a6418f9d,4611,LA,70122,Renter,Apartment,12000.0,False,True,False,False,False,,220710033081001,2020.0,22071003308
985ffd9f-8a53-4eb1-965e-ef2ecad17649,4559,LA,71303,Renter,Apartment,15120.0,False,False,False,False,False,,220790107012004,2020.0,22079010701
bb4ec837-4825-4e65-9b84-eeb653b71b98,4611,LA,70802,Owner,House/Duplex,38000.0,False,False,False,False,False,0.0,220330053001012,2020.0,22033005300
9409bdda-4149-4995-9afc-5f59e8d27d2b,4337,FL,33407,Owner,House/Duplex,110000.0,False,False,False,False,False,,120990018011007,2010.0,12099001801
67618a24-70af-4146-b3a7-d7164b6f6b68,4337,FL,33870,Renter,Apartment,16000.0,False,True,False,False,False,,120559611002010,2010.0,12055961100
61546e9f-4d96-4024-80a6-bd7a1df0c1c1,4337,FL,33405,Renter,House/Duplex,25000.0,False,False,False,False,False,0.0,120990033001017,2010.0,12099003300
09aa9aee-5840-44e9-961c-62a371442beb,4337,FL,32073,Renter,House/Duplex,4500.0,False,False,False,False,False,0.0,120190302031026,2010.0,12019030203
2efd9e1c-fc5b-4e38-9ccf-f2f8fb6168c5,4586,TX,77028,Owner,House/Duplex,26260.0,True,False,False,False,True,474.99,482012302003014,2020.0,48201230200
13271c72-b092-4035-9287-d5ed76bd013f,4586,TX,75052,Owner,House/Duplex,,False,False,False,False,False,,484391115541015,2020.0,48439111554
23094b59-f612-4c89-b029-9888d50a3a2b,4337,FL,33187,Renter,House/Duplex,30000.0,False,False,False,False,False,,120860198004015,2010.0,12086019800
73be8b1c-6e7f-4b8f-8b04-44790781566a,4337,FL,33179,Owner,Condo,11328.0,False,False,False,False,False,0.0,120860098082012,2010.0,12086009808
3d835838-40b3-4600-9751-ba53d4189b9f,4559,LA,71302,Renter,Apartment,20000.0,False,False,False,False,False,1208.1,220790127001021,2020.0,22079012700
1a03931f-c835-423e-b0f9-43519d45dd92,4332,TX,77015,Renter,Apartment,13000.0,False,False,False,False,False,,482012328002002,2010.0,48201232800
ae4d0eb6-8e59-4df8-bded-5c3473aee74e,4611,LA,70754,Owner,House/Duplex,90000.0,False,False,False,False,False,,220630402043047,2020.0,22063040204
89abd5c8-1e72-4ead-85b6-ac1355f2dd30,4332,TX,77449,Owner,House/Duplex,75000.0,False,True,False,False,False,,482015429003033,2010.0,48201542900
a32c7d5a-2242-4347-92b2-1a095ecc846f,4337,FL,33614,Renter,Apartment,17000.0,False,True,False,False,False,,120570118034003,2010.0,12057011803
825f08dd-615a-47a5-a3c9-04c5f036b3fb,4337,FL,33905,Owner,House/Duplex,7450.0,False,True,False,False,False,,120710003014029,2010.0,12071000301
bb91213a-6aec-4ffc-8030-5adf303314c9,4337,FL,33470,Renter,House/Duplex,8796.0,False,True,False,False,False,0.0,120990078091091,2010.0,12099007809
e4622fd1-0758-4480-b1bd-e7d00ded922c,4337,FL,33050,Owner,House/Duplex,,False,True,False,False,False,0.0,120879713001000,2010.0,12087971300
d3118e98-817f-4a48-90d2-9409287668de,4332,TX,77064,Renter,House/Duplex,20000.0,False,False,False,False,False,0.0,482015516001005,2010.0,48201551600
687a5892-92cd-4b58-b2d0-a645d9352d5f,4337,FL,33881,Renter,House/Duplex,13500.0,False,False,False,False,True,341.7,121050137023028,2010.0,12105013702
9cb52c4a-5d0e-48e5-910e-278aa0ba83df,4337,FL,32779,Owner,House/Duplex,90000.0,False,False,False,False,False,,121170216092008,2010.0,12117021609
0ee05a67-0e1c-47de-9a06-b87404d1b325,4611,LA,70454,Owner,House/Duplex,120000.0,False,False,False,False,False,,221059545054007,2020.0,22105954505
97b863b7-d21e-45e0-9d89-363779a8a88d,4337,FL,34428,Renter,House/Duplex,17796.0,False,False,False,False,False,,120174505002051,2010.0,12017450500
f680e7b7-2a5a-4249-9435-f4123b0bf9f3,4337,FL,33967,Owner,House/Duplex,40000.0,False,False,False,False,False,,120710502051021,2010.0,12071050205
eb575b30-34ac-4b37-bbac-1c1ea54a9d46,4337,FL,34475,Owner,House/Duplex,,False,True,False,False,False,,120830017001054,2010.0,12083001700
b500a5af-b96f-4518-a053-eb15678f9556,4337,FL,33178,Renter,Apartment,26832.0,False,False,False,False,False,0.0,120860090342002,2010.0,12086009034
dc49fb81-25ea-4012-9cc0-e74a07a83471,4337,FL,34465,Owner,House/Duplex,21600.0,False,True,False,False,False,0.0,120174502011028,2010.0,12017450201
e324e4c0-3b1f-42f6-853d-9d6eb4abf3af,4337,FL,33193,Renter,Apartment,22000.0,False,False,False,False,False,,120860178002000,2010.0,12086017800
4bb72741-a9d6-4778-890a-6b3bda2b9868,4337,FL,32765,Owner,Mobile Home,0.0,False,False,False,False,False,0.0,121170213151001,2010.0,12117021315
ca91ded0-f984-4db8-a99d-eb636fcd48f1,4611,LA,70058,Owner,House/Duplex,34914.0,False,False,False,False,False,,220510278181010,2020.0,22051027818
b3ab1659-6521-4dc8-a764-63b792bf7e2d,4611,LA,70005,Renter,Apartment,26000.0,False,False,False,False,False,,220510293004002,2020.0,22051029300
d902ac07-d23c-46c3-ae48-73c76b45f0fd,4332,TX,77072,Owner,House/Duplex,,False,True,False,False,False,,482014524001002,2010.0,48201452400
c15ce260-6136-4267-877c-aacdcdb9f4a8,4337,FL,32038,Owner,Mobile Home,3600.0,False,True,False,False,False,,120231109012060,2010.0,12023110901
3d613cd9-6dee-497c-a8ab-8ed3fc066e35,4337,FL,32725,Owner,House/Duplex,35000.0,False,False,False,False,False,,121270910222039,2010.0,12127091022
6bbf3b11-a7dd-4873-a709-1e7269c90735,4337,FL,33332,Owner,House/Duplex,67899.0,False,False,False,False,False,,120110703141032,2010.0,12011070314
f9873106-8b54-4471-9e4e-1682653928e3,4337,FL,34293,Owner,House/Duplex,37274.0,False,False,False,False,False,,121150025052038,2010.0,12115002505
178811ad-bb2e-460f-9085-b818b4ea3913,4337,FL,33311,Renter,Apartment,60000.0,False,False,False,False,False,0.0,120110508003011,2010.0,12011050800
573a184e-3b44-4d53-88de-eeff3e651873,4337,FL,34286,Renter,House/Duplex,107000.0,False,True,False,False,False,,121150027122241,2010.0,12115002712
51967087-d742-41fa-83c1-f8dcf30036eb,4332,TX,77028,Owner,House/Duplex,30000.0,False,False,True,False,False,935.73,482012308002026,2010.0,48201230800
d2e2151a-b780-474f-949d-b69c07491ea0,4337,FL,32738,Renter,House/Duplex,,False,False,False,False,False,0.0,121270910211007,2010.0,12127091021
635a2867-cce2-4033-93d5-5aedbc6bcb1b,4337,FL,33193,Renter,Apartment,25000.0,False,False,False,False,False,,120860177001009,2010.0,12086017700
5319c6d8-0ef2-4794-8cd4-3d4fa80dfdb5,4337,FL,33351,Renter,Apartment,30000.0,False,True,False,False,False,,120110601141014,2010.0,12011060114
4b373f24-6fdf-406b-833a-bc6328f1a08f,4337,FL,32666,Owner,House/Duplex,9600.0,True,False,False,False,False,0.0,120010020001001,2010.0,12001002000
486ffff6-f7ca-4ebf-903f-f5fdf032eae6,4337,FL,33040,Renter,Apartment,15000.0,False,True,False,False,False,0.0,120879718004012,2010.0,12087971800
5bd9e66b-9c36-48da-9a06-d23d8e125d02,4337,FL,34953,Owner,House/Duplex,,False,True,False,False,False,,121113821114058,2010.0,12111382111
9a909115-a2e9-4524-b0d2-c1286e886f78,4586,TX,75043,Renter,Apartment,44000.0,False,False,False,False,False,225.0,481130181481007,2020.0,48113018148
7a5a82eb-d1e6-494f-8667-914ff248a9fb,4611,LA,70068,Owner,House/Duplex,48000.0,False,False,False,False,False,,220950703002002,2020.0,22095070300
2772f24d-0e76-4f29-a1f4-8cf5e3837ef4,4332,TX,78412,Renter,Apartment,,False,False,False,False,False,0.0,483550033052000,2010.0,48355003305
1077bb0c-14e6-4535-af31-deb0e25abd35,4332,TX,77014,Renter,Apartment,290000.0,False,True,False,False,False,0.0,482015504011011,2010.0,48201550401
854bac44-d0dd-4c2b-b339-56839d4cfbb7,4337,FL,33013,Renter,House/Duplex,,False,True,False,False,False,,120860006072009,2010.0,12086000607
e07c8bda-e991-49b6-a221-cb62d12adaff,4337,FL,33971,Renter,House/Duplex,5000.0,False,False,False,False,False,0.0,120710401212008,2010.0,12071040121
f559f3ea-52f2-4cd4-82a0-03b5fe92305f,4337,FL,33613,Renter,Apartment,17472.0,False,True,False,False,False,,120570108183000,2010.0,12057010818
d89794bf-e8d2-45db-b5ba-567235b8593f,4337,FL,34741,Renter,Apartment,,False,False,False,False,False,,120970422003004,2010.0,12097042200
333b1bef-8e20-41a8-af62-5b8018f962dc,4611,LA,70127,Owner,House/Duplex,55321.0,False,False,False,False,False,,220710017234008,2020.0,22071001723
5a8c9756-6cf8-46ac-93fd-6aa9770a6caf,4332,TX,77087,Renter,House/Duplex,24000.0,False,True,False,False,False,,482013326002032,2010.0,48201332600
a66b779f-3b8d-4e57-929e-fabb9f3c4b21,4337,FL,33176,Renter,Apartment,,False,True,False,False,False,,120860082061017,2010.0,12086008206
c791faed-24e8-4f30-bf7e-34dc1df1553a,4337,FL,33990,Owner,Condo,,False,False,False,False,False,0.0,120710103073028,2010.0,12071010307
f1d0cff4-dbb6-49f0-b600-380d430bee16,4337,FL,32181,Renter,Mobile Home,0.0,False,False,False,False,False,0.0,121079512002027,2010.0,12107951200
f92e1730-c2d2-4467-a693-441d6c176f35,4586,TX,77498,Owner,House/Duplex,22000.0,False,False,False,False,False,,481576723042016,2020.0,48157672304
da969485-8a58-45ea-8d7e-fa0fa3d699f8,4332,TX,77517,Renter,House/Duplex,33600.0,False,False,False,False,False,2095.12,481677235024010,2010.0,48167723502
32d0fb32-fead-4e80-a8b1-540b01f3743f,4337,FL,34116,Owner,House/Duplex,34212.0,False,False,False,False,False,,120210104113028,2010.0,12021010411
ab299d47-0b49-4622-88d5-53ba52bbbb23,4337,FL,33844,Owner,Mobile Home,,False,False,False,False,False,0.0,121050127001006,2010.0,12105012700
3e3885b1-722e-4b8a-bc43-f6a4739f4e70,4337,FL,33711,Renter,House/Duplex,60000.0,False,True,False,False,False,,121030208005004,2010.0,12103020800
c9f5d77c-8213-4e77-8270-3b49ee6a495e,4337,FL,32725,Renter,House/Duplex,35731.0,False,False,False,False,False,0.0,121270910193025,2010.0,12127091019
53e657a6-a015-4555-a1a7-18d44c7779a3,4337,FL,32114,Renter,House/Duplex,120000.0,False,False,False,False,False,0.0,121270816002030,2010.0,12127081600
bda9e008-4763-485f-a2f1-cb62fe93ef55,4337,FL,33916,Renter,Apartment,15000.0,False,False,False,False,False,,120710012013013,2010.0,12071001201
24f07428-1888-4184-99a1-40191810b3de,4337,FL,33803,Owner,House/Duplex,,False,True,True,False,False,341.7,121050120031022,2010.0,12105012003
dba8f591-6e4a-42e6-9155-1399b65c2a82,4399,FL,32443,Owner,House/Duplex,10908.0,False,False,False,False,False,0.0,120632108002017,2010.0,12063210800
bdb1d5ee-3aed-4966-bdff-cd864dc8e025,4559,LA,71302,Renter,Apartment,1500.0,False,False,False,False,False,,220790125003038,2020.0,22079012500
98298038-c88c-4514-bba1-110a4eb2021f,4332,TX,78374,Owner,House/Duplex,80000.0,False,False,False,False,False,0.0,484090107002119,2010.0,48409010700
22a2a622-cd60-41c9-aee0-1b4b6db89efa,4332,TX,77031,Renter,Apartment,27000.0,False,True,False,False,False,,482014232023012,2010.0,48201423202
a2ea8db4-edcf-437f-996c-ea0deacab8fd,4337,FL,32210,Owner,House/Duplex,,False,False,False,False,False,,120310134041014,2010.0,12031013404
8a93cff0-d0f6-4f88-9fd7-80983498a8c0,4337,FL,33461,Renter,Townhouse,,False,False,False,False,False,,120990046021002,2010.0,12099004602
a1dcebae-68bc-4ae6-92d2-708ec7108006,4337,FL,33014,Renter,House/Duplex,2000.0,False,False,False,False,False,0.0,120860093071018,2010.0,12086009307
803b715c-21be-4a2d-996a-eb80e9d5e0f1,4399,FL,32303,Owner,House/Duplex,,False,False,False,False,False,,120730022053000,2010.0,12073002205
7fb08a5e-70c8-40ce-aafa-fad5425335c7,4559,LA,70663,Owner,House/Duplex,85000.0,False,False,False,False,False,,220190031011026,2020.0,22019003101
6dad1d87-ce3b-44c2-9d63-e0215c7fbadd,4337,FL,32225,Renter,Apartment,29000.0,False,False,False,False,False,,120310143341011,2010.0,12031014334
c3d328d9-327d-4425-a1a6-acdd6f0a8839,4337,FL,33133,Renter,House/Duplex,35000.0,False,False,False,False,False,,120860070023005,2010.0,12086007002
f1e1bb67-dbbe-4423-9d4a-436e4d7b5e6d,4337,FL,34747,Owner,House/Duplex,461703.0,False,False,False,False,False,,120970408021131,2010.0,12097040802
c956570f-dfb1-4577-8488-111d4f2066cb,4337,FL,33193,Owner,Townhouse,73000.0,False,False,False,False,False,,120860179001002,2010.0,12086017900
e4c32a98-7d54-45a6-aae7-8fa25a4d4780,4399,FL,32465,Owner,House/Duplex,90000.0,False,False,False,False,False,,120459601002119,2010.0,12045960100
66e40672-15e9-47da-ae34-1dd64bbf3069,4586,TX,78666,Renter,Townhouse,30000.0,False,False,False,False,False,,,,
59acff09-cf54-4714-93ce-b80d9b80f6ef,4332,TX,77469,Renter,House/Duplex,19200.0,False,False,False,False,False,0.0,481576755001064,2010.0,48157675500
b71f8d79-d6bd-49ff-92b6-9060d120e41b,4586,TX,77077,Owner,House/Duplex,105000.0,False,False,False,False,False,,482014516031005,2020.0,48201451603
6fdd5308-ceec-4c8d-beaf-e01c0eef3804,4611,LA,70072,Owner,House/Duplex,60000.0,False,True,False,False,False,300.0,220510278191018,2020.0,22051027819
