tract_geoid,disasterNumber,fema_claims_total,fema_claims_total_log1p,fema_claims_pc,applications,fema_claims_mean,declaration,tsa_eligible_rate,owner_rate,renter_rate,acs_total_population,svi_total_population,population_for_pc,median_household_income,pct_poverty,pct_elderly,pct_children,pct_black,pct_hispanic,pct_no_vehicle,pct_limited_english,housing_units,pct_mobile_homes,pct_multi_unit,pct_crowded_housing,max_wind_mph,total_rainfall_in,min_distance_km,pct_floodplain,in_fema_decl,in_noaa_exposure,coverage_label,state_abbr,county_name,acs_state_fips,state_fips,area_sq_mi,noaa_distance_km,noaa_max_wind_kt,noaa_duration_hours,noaa_within_64kt,noaa_wind_source,noaa_lead_time_cat1,noaa_lead_time_cat2,noaa_lead_time_cat3,noaa_lead_time_cat4,noaa_lead_time_cat5
22003950501,4611,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1.0,3385.0,3385.0,3385.0,59448.0,0.267,0.148,0.295,0.0969999999999999,0.011,0.003,0.001,1469.0,0.236,0.0,0.026,,,,,1,0,fema_only,LA,Allen Parish,22.0,22.0,70.354605277932,,,,,,,,,,
22005030102,4611,0.0,0.0,0.0,4,0.0,1,0.0,1.0,0.0,4741.0,4741.0,4741.0,72292.0,0.24,0.2239999999999999,0.2269999999999999,0.0,0.03,0.031,0.018,2154.0,0.235,0.0,0.013,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,6.130366551466,19.636174459796734,81.52073692410671,6.25,,rmw_plateau,60.0,30.0,24.0,24.0,
22005030104,4611,0.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,3663.0,3663.0,3663.0,94257.0,0.1169999999999999,0.072,0.342,0.261,0.05,0.01,0.0,1562.0,0.157,0.0,0.013,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,4.756334939312,,,,,,,,,,
22005030105,4611,1359.94,7.215930916448237,0.1993754581439671,6,453.31333333333333,1,0.3333333333333333,0.5,0.5,6821.0,6821.0,6821.0,96037.0,0.18,0.067,0.309,0.193,0.052,0.0,0.0,2467.0,0.118,0.0,0.038,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,6.97312181162,,,,,,,,,,
22005030106,4611,0.0,0.0,0.0,4,0.0,1,0.25,0.5,0.5,1919.0,1919.0,1919.0,92522.0,0.1669999999999999,0.223,0.294,0.0,0.006,0.022,0.0,968.0,0.201,0.0,0.02,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,10.799867150978,,,,,,,,,,
22005030107,4611,0.0,0.0,0.0,2,0.0,1,0.0,0.5,0.5,3104.0,3104.0,3104.0,83750.0,0.081,0.1639999999999999,0.308,0.013,0.005,0.036,0.002,1150.0,0.401,0.0,0.004,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,4.465566542438,,,,,,,,,,
22005030207,4611,0.0,0.0,0.0,2,0.0,1,0.0,0.5,0.5,5593.0,5593.0,5593.0,103969.0,0.059,0.158,0.268,0.151,0.01,0.019,0.004,2069.0,0.173,0.011,0.017,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,4.518635876236,,,,,,,,,,
22005030208,4611,800.0,6.68586094706836,0.1491146318732525,3,800.0,1,0.0,1.0,0.0,5365.0,5365.0,5365.0,148125.0,0.084,0.109,0.318,0.036,0.06,0.0,0.005,1832.0,0.102,0.026,0.021,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,3.646627984154,,,,,,,,,,
22005030209,4611,985.88,6.894548451494855,0.3651407407407407,4,328.62666666666667,1,0.25,0.25,0.75,2700.0,2700.0,2700.0,117542.0,0.0289999999999999,0.067,0.259,0.066,0.0,0.017,0.0,1066.0,0.068,0.153,0.0,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,2.323695813394,,,,,,,,,,
22005030210,4611,21.98,3.1346242724206097,0.0035915032679738,6,7.326666666666667,1,0.5,0.6666666666666666,0.3333333333333333,6120.0,6120.0,6120.0,113489.0,0.077,0.123,0.2269999999999999,0.183,0.031,0.061,0.015,2230.0,0.042,0.0,0.0,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,3.277116787094,,,,,,,,,,
22005030211,4611,499.99,6.21658614080582,0.0762994048527392,8,99.998,1,0.0,0.625,0.375,6553.0,6553.0,6553.0,100227.0,0.083,0.1,0.286,0.163,0.011,0.0,0.015,2366.0,0.151,0.0,0.0,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,3.767085630522,,,,,,,,,,
22005030212,4611,0.0,0.0,0.0,5,0.0,1,0.0,0.8,0.2,7686.0,7686.0,7686.0,117191.0,0.032,0.114,0.281,0.186,0.019,0.0,0.001,2879.0,0.01,0.0,0.0069999999999999,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,3.414742458892,,,,,,,,,,
22005030213,4611,0.0,0.0,0.0,4,0.0,1,0.0,0.75,0.25,4873.0,4873.0,4873.0,102750.0,0.156,0.0559999999999999,0.261,0.118,0.039,0.0069999999999999,0.0,1947.0,0.075,0.027,0.0,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,2.786442535312,,,,,,,,,,
22005030214,4611,1074.0,6.980075940561763,0.1568112133158125,5,537.0,1,0.2,0.8,0.2,6849.0,6849.0,6849.0,108529.0,0.305,0.072,0.3,0.134,0.2689999999999999,0.015,0.091,2543.0,0.273,0.179,0.138,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,4.050253609526,,,,,,,,,,
22005030215,4611,0.0,0.0,0.0,2,0.0,1,0.0,1.0,0.0,4660.0,4660.0,4660.0,68750.0,0.211,0.1169999999999999,0.22,0.138,0.039,0.054,0.0,1994.0,0.31,0.0,0.025,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,4.059967935846,,,,,,,,,,
22005030301,4611,0.0,0.0,0.0,2,0.0,1,0.0,1.0,0.0,5520.0,5520.0,5520.0,155594.0,0.07,0.075,0.293,0.172,0.06,0.012,0.0,1645.0,0.02,0.0,0.0,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,12.198994620928,,,,,,,,,,
22005030302,4611,680.71,6.524604347470477,0.1170811833505332,8,170.1775,1,0.25,0.875,0.125,5814.0,5814.0,5814.0,133710.0,0.037,0.155,0.218,0.2789999999999999,0.005,0.0069999999999999,0.0,2367.0,0.096,0.0,0.0,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,44.034689083536,,,,,,,,,,
22005030303,4611,0.0,0.0,0.0,5,0.0,1,0.2,1.0,0.0,3886.0,3886.0,3886.0,94303.0,0.2289999999999999,0.026,0.275,0.214,0.178,0.0,0.044,1404.0,0.321,0.0,0.0,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,5.699825369572,,,,,,,,,,
22005030304,4611,0.0,0.0,0.0,3,0.0,1,0.0,0.6666666666666666,0.3333333333333333,2821.0,2821.0,2821.0,140139.0,0.009,0.053,0.3429999999999999,0.105,0.27,0.084,0.0,808.0,0.099,0.0,0.0,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,4.70935559236,,,,,,,,,,
22005030403,4611,0.0,0.0,0.0,5,0.0,1,0.0,0.8,0.2,2588.0,2588.0,2588.0,44305.0,0.259,0.126,0.222,0.377,0.08,0.072,0.04,1200.0,0.191,0.0,0.0,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,3.784888021538,,,,,,,,,,
22005030404,4611,300.0,5.707110264748875,0.1189532117367168,7,50.0,1,0.0,0.2857142857142857,0.7142857142857143,2522.0,2522.0,2522.0,86336.0,0.345,0.12,0.2239999999999999,0.235,0.188,0.032,0.004,1319.0,0.118,0.073,0.0,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,2.088431123428,,,,,,,,,,
22005030405,4611,0.0,0.0,0.0,11,0.0,1,0.1818181818181818,0.8181818181818182,0.1818181818181818,4995.0,4995.0,4995.0,61060.0,0.236,0.146,0.265,0.556,0.083,0.006,0.03,1991.0,0.109,0.0279999999999999,0.046,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,2.01575359956,,,,,,,,,,
22005030406,4611,0.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,4605.0,4605.0,4605.0,79143.0,0.141,0.157,0.211,0.607,0.053,0.08,0.008,2245.0,0.026,0.377,0.015,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,2.706566525756,,,,,,,,,,
22005030501,4611,0.0,0.0,0.0,2,0.0,1,0.5,1.0,0.0,3028.0,3028.0,3028.0,92241.0,0.052,0.242,0.142,0.032,0.042,0.011,0.0279999999999999,1456.0,0.108,0.008,0.013,,,,,1,0,fema_only,LA,Ascension Parish,22.0,22.0,3.85085007332,,,,,,,,,,
