tract_geoid,NAME,state_fips,total_population,median_household_income
48001950100,Census Tract 9501; Anderson County; Texas,48,5268,69663
48001950401,Census Tract 9504.01; Anderson County; Texas,48,4763,105000
48001950402,Census Tract 9504.02; Anderson County; Texas,48,6540,-666666666
48001950500,Census Tract 9505; Anderson County; Texas,48,4323,47454
48001950600,Census Tract 9506; Anderson County; Texas,48,5448,42949
48001950700,Census Tract 9507; Anderson County; Texas,48,2655,36268
48001950800,Census Tract 9508; Anderson County; Texas,48,6394,44464
48001950901,Census Tract 9509.01; Anderson County; Texas,48,5140,51165
48001950902,Census Tract 9509.02; Anderson County; Texas,48,4667,67875
48001951001,Census Tract 9510.01; Anderson County; Texas,48,4527,61090
48001951002,Census Tract 9510.02; Anderson County; Texas,48,3363,76397
48001951100,Census Tract 9511; Anderson County; Texas,48,4989,72483
48003950100,Census Tract 9501; Andrews County; Texas,48,2450,99345
48003950200,Census Tract 9502; Andrews County; Texas,48,7507,87760
48003950300,Census Tract 9503; Andrews County; Texas,48,4777,78713
48003950400,Census Tract 9504; Andrews County; Texas,48,3628,79063
48005000102,Census Tract 1.02; Angelina County; Texas,48,5271,62000
48005000103,Census Tract 1.03; Angelina County; Texas,48,3292,39750
48005000104,Census Tract 1.04; Angelina County; Texas,48,2878,79954
48005000201,Census Tract 2.01; Angelina County; Texas,48,2515,44656
48005000202,Census Tract 2.02; Angelina County; Texas,48,3368,46202
48005000301,Census Tract 3.01; Angelina County; Texas,48,5130,68370
48005000302,Census Tract 3.02; Angelina County; Texas,48,5803,71833
48005000400,Census Tract 4; Angelina County; Texas,48,5016,55608
48005000500,Census Tract 5; Angelina County; Texas,48,3815,27438
48005000600,Census Tract 6; Angelina County; Texas,48,6395,59266
48005000700,Census Tract 7; Angelina County; Texas,48,3471,40590
48005000800,Census Tract 8; Angelina County; Texas,48,5861,73285
48005000902,Census Tract 9.02; Angelina County; Texas,48,3734,51514
48005000903,Census Tract 9.03; Angelina County; Texas,48,3023,66389
48005000904,Census Tract 9.04; Angelina County; Texas,48,3000,60874
48005001001,Census Tract 10.01; Angelina County; Texas,48,5104,49022
48005001002,Census Tract 10.02; Angelina County; Texas,48,4157,67675
48005001101,Census Tract 11.01; Angelina County; Texas,48,3835,59345
48005001102,Census Tract 11.02; Angelina County; Texas,48,2817,53614
48005001200,Census Tract 12; Angelina County; Texas,48,2613,40139
48005001300,Census Tract 13; Angelina County; Texas,48,5510,50000
48007950101,Census Tract 9501.01; Aransas County; Texas,48,1850,62455
48007950102,Census Tract 9501.02; Aransas County; Texas,48,2963,58606
48007950103,Census Tract 9501.03; Aransas County; Texas,48,1245,59116
48007950200,Census Tract 9502; Aransas County; Texas,48,1155,54554
48007950301,Census Tract 9503.01; Aransas County; Texas,48,3323,40274
48007950302,Census Tract 9503.02; Aransas County; Texas,48,3285,83821
48007950400,Census Tract 9504; Aransas County; Texas,48,3181,40660
48007950501,Census Tract 9505.01; Aransas County; Texas,48,2244,51168
48007950502,Census Tract 9505.02; Aransas County; Texas,48,2400,59826
48007950503,Census Tract 9505.03; Aransas County; Texas,48,2402,92969
48007990000,Census Tract 9900; Aransas County; Texas,48,0,-666666666
48009020100,Census Tract 201; Archer County; Texas,48,2911,94000
48009020200,Census Tract 202; Archer County; Texas,48,2427,60462
48009020300,Census Tract 203; Archer County; Texas,48,3311,60000
48011950100,Census Tract 9501; Armstrong County; Texas,48,1912,70417
48013960101,Census Tract 9601.01; Atascosa County; Texas,48,3519,59500
48013960102,Census Tract 9601.02; Atascosa County; Texas,48,3919,70028
48013960203,Census Tract 9602.03; Atascosa County; Texas,48,2809,50943
48013960204,Census Tract 9602.04; Atascosa County; Texas,48,3093,102029
48013960205,Census Tract 9602.05; Atascosa County; Texas,48,6041,72019
