tract_geoid,applications,ppfvl_sum,ppfvl_mean,tsa_eligible_rate,owner_rate,renter_rate
12001000200,1,0.0,,0.0,0.0,1.0
12001000301,2,0.0,0.0,1.0,0.0,1.0
12001000302,2,0.0,,0.5,0.0,1.0
12001000400,1,0.0,,0.0,1.0,0.0
12001000500,1,0.0,0.0,0.0,0.0,1.0
12001000600,7,5441.7,1360.425,0.14285714285714285,0.42857142857142855,0.5714285714285714
12001000700,7,341.7,68.34,0.5714285714285714,0.7142857142857143,0.2857142857142857
12001000808,1,0.0,,1.0,0.0,1.0
12001000809,1,0.0,,0.0,0.0,1.0
12001001100,2,0.0,,0.0,1.0,0.0
12001001203,1,0.0,,1.0,0.0,1.0
12001001400,1,0.0,,0.0,1.0,0.0
12001001515,5,341.7,170.85,0.4,0.0,1.0
12001001521,2,0.0,0.0,1.0,0.0,1.0
12001001604,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
12001001702,1,0.0,0.0,1.0,0.0,1.0
12001001801,5,0.0,0.0,0.0,1.0,0.0
12001001802,1,0.0,0.0,1.0,1.0,0.0
12001001803,1,0.0,,0.0,0.0,1.0
12001001805,1,0.0,,0.0,0.0,1.0
12001001806,4,0.0,0.0,0.25,1.0,0.0
12001001811,2,0.0,0.0,1.0,1.0,0.0
12001001813,1,0.0,,0.0,0.0,1.0
12001001907,1,0.0,0.0,0.0,1.0,0.0
12001001908,4,0.0,0.0,0.5,0.75,0.25
12001002000,9,0.0,0.0,0.2222222222222222,0.6666666666666666,0.3333333333333333
12001002101,2,0.0,,0.0,1.0,0.0
12001002202,1,0.0,,1.0,1.0,0.0
12001002205,2,0.0,,1.0,1.0,0.0
12001002207,1,0.0,,0.0,1.0,0.0
12001002209,2,0.0,,0.0,1.0,0.0
12001002210,3,341.7,341.7,0.0,1.0,0.0
12001002217,4,0.0,0.0,0.25,0.25,0.75
12001002218,1,0.0,0.0,1.0,0.0,1.0
12001002219,6,0.0,0.0,0.3333333333333333,0.5,0.5
12001002220,1,0.0,,0.0,1.0,0.0
12001110800,1,0.0,,0.0,0.0,1.0
12003040101,3,0.0,0.0,0.3333333333333333,1.0,0.0
12003040102,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
12003040201,2,0.0,0.0,0.5,0.5,0.5
12003040202,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
12005000201,7,619.35,123.87,0.0,0.8571428571428571,0.14285714285714285
